SalePrice,Overall Qual,Gr Liv Area,Garage Cars,Garage Area,Total Bsmt SF,1st Flr SF,Exter Qual_TA,Year Built,Year Remod/Add,Full Bath,Kitchen Qual_TA,Foundation_PConc,TotRms AbvGrd,Mas Vnr Area,Garage Yr Blt,Fireplace Qu_Unknown,Fireplaces,BsmtFin Type 1_GLQ,Bsmt Qual_TA,Exter Qual_Gd
167300,6,1587,2.0,525.0,1587.0,1587,1,1971,1971,2,1,0,7,302.0,1971.0,0,1,0,1,0
219000,7,2267,2.0,498.0,1005.0,1262,1,1937,1980,1,1,0,7,0.0,1937.0,0,2,0,1,0
129000,5,864,2.0,720.0,864.0,864,1,1950,2002,1,0,0,5,0.0,1980.0,1,0,0,1,0
328000,7,2260,2.0,533.0,1306.0,1306,0,1996,1997,2,0,1,7,0.0,1996.0,1,0,1,0,1
290000,8,2501,3.0,751.0,1242.0,1251,0,1995,1995,2,0,1,9,466.0,1995.0,0,1,0,0,1
139500,6,1489,1.0,240.0,778.0,944,1,1940,1950,2,1,0,7,0.0,1940.0,0,1,0,1,0
139900,7,1428,2.0,576.0,712.0,848,1,1900,1970,1,1,0,7,0.0,1985.0,1,0,0,1,0
300000,8,1786,3.0,715.0,1778.0,1786,0,2002,2003,2,0,1,6,240.0,2002.0,0,1,1,0,1
125200,6,1096,1.0,352.0,1008.0,1096,1,1975,1975,1,1,0,5,0.0,1975.0,0,1,0,1,0
160000,7,1252,2.0,462.0,600.0,624,0,1999,2000,2,0,1,4,212.0,1999.0,1,0,0,0,1
163000,7,1768,2.0,320.0,880.0,880,1,1914,1970,1,1,0,6,0.0,1914.0,0,2,0,0,0
182900,6,1440,2.0,467.0,1440.0,1440,0,1981,1981,2,0,0,7,310.0,1981.0,0,1,0,0,1
129000,5,1633,1.0,240.0,1027.0,1027,1,1948,2009,1,0,0,7,0.0,1948.0,0,1,0,1,0
148000,6,1210,2.0,528.0,1128.0,1210,1,1975,1975,2,1,0,6,257.0,1975.0,1,0,1,1,0
410000,8,3238,3.0,666.0,2033.0,2053,0,1995,1996,2,0,1,9,579.0,1996.0,0,1,1,0,1
